Timestamp,Model,MAE,RMSE,MAE_%,Site,Epochs,BatchSize,FinalLoss,FinalValLoss
2025-05-23T02:03:12,lstm_model,0.07,0.11,27.84,ALL,50,32,0.007034,0.006401
2025-05-23T02:10:04,gru_model,0.07,0.11,27.97,ALL,50,32,0.007413,0.00642
2025-05-23T02:13:00,sae_model,0.07,0.11,29.4,ALL,50,32,0.012951,0.00811
